Key,Value
ain't,am not
aren't,are not
can't,cannot
can't've,cannot have
could've,could have
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
he'd,he had
he'll,he will
he's,he has
how'd,how did
how'll,how will
how's,how has
i'd,I had
i'll,I will
i'm,I am
i've,I have
isn't,is not
it'd,it would
it'll,it will
it's,it is
let's,let us
ma'am,madam
might've,might have
must've,must have
mustn't,must not
needn't,need not
o'clock,of the clock
oughtn't,ought not
shan't,shall not
she'd,she would
she'll,she will
she's,she is
should've,should have
shouldn't,should not
so've,so have
so's,so as
that'd,that would
that's,that is
there'd,there would
there's,there is
they'd,they would
they'll,they will
they're,they are
they've,they have
to've,to have
wasn't,was not
we'd,we would
we'll,we will
we're,we are
we've,we have
weren't,were not
what'll,what will
what're,what are
what's,what is
what've,what have
when's, when is
when've,when have
where'd,where did
where's,where is
where've,where have
who'll, who will
who's,who is
who've,who have
won't,will not
would've,would have
wouldn't,would not
y'all,you all
you'd, you would
you'll,you will
you're,you are
you've,you have
